,geodi10,All Other Thefts,Simple Assault,Theft From Motor Vehicle,Quarter
453,37119005509,3.0,7.0,15.0,2.0
454,37119005509,12.0,9.0,18.0,3.0
455,37119005509,2.0,3.0,10.0,4.0
456,37119005510,15.0,9.0,10.0,1.0
457,37119005510,15.0,16.0,24.0,2.0
458,37119005510,11.0,12.0,7.0,3.0
459,37119005510,10.0,5.0,6.0,4.0
460,37119005511,11.0,11.0,9.0,1.0
461,37119005511,8.0,5.0,11.0,2.0
462,37119005511,8.0,4.0,24.0,3.0
463,37119005511,9.0,7.0,12.0,4.0
464,37119005512,10.0,15.0,8.0,1.0
465,37119005512,13.0,10.0,5.0,2.0
466,37119005512,11.0,8.0,12.0,3.0
467,37119005512,11.0,7.0,20.0,4.0
468,37119005513,2.0,5.0,2.0,1.0
469,37119005513,6.0,3.0,3.0,2.0
470,37119005513,5.0,8.0,9.0,3.0
471,37119005513,2.0,5.0,14.0,4.0
472,37119005514,11.0,4.0,11.0,1.0
473,37119005514,5.0,5.0,25.0,2.0
474,37119005514,9.0,7.0,24.0,3.0
475,37119005514,10.0,7.0,20.0,4.0
476,37119005515,0.0,2.0,1.0,1.0
477,37119005515,1.0,1.0,1.0,2.0
478,37119005515,2.0,3.0,5.0,3.0
479,37119005515,2.0,1.0,3.0,4.0
480,37119005516,0.0,0.0,1.0,1.0
481,37119005516,2.0,0.0,3.0,2.0
482,37119005516,3.0,3.0,0.0,3.0
483,37119005516,1.0,0.0,2.0,4.0
484,37119005517,1.0,2.0,0.0,1.0
485,37119005517,2.0,3.0,13.0,2.0
486,37119005517,5.0,1.0,2.0,3.0
487,37119005517,4.0,4.0,8.0,4.0
488,37119005518,11.0,4.0,8.0,1.0
489,37119005518,14.0,7.0,16.0,2.0
490,37119005518,12.0,4.0,18.0,3.0
491,37119005518,9.0,9.0,18.0,4.0
492,37119005519,2.0,6.0,3.0,1.0
493,37119005519,6.0,3.0,10.0,2.0
494,37119005519,11.0,6.0,5.0,3.0
495,37119005519,6.0,4.0,13.0,4.0
496,37119005520,5.0,4.0,5.0,1.0
497,37119005520,6.0,2.0,11.0,2.0
498,37119005520,6.0,6.0,15.0,3.0
499,37119005520,6.0,9.0,3.0,4.0
500,37119005521,8.0,20.0,18.0,1.0
501,37119005521,12.0,9.0,14.0,2.0
502,37119005521,11.0,8.0,32.0,3.0
503,37119005521,10.0,11.0,41.0,4.0
504,37119005522,4.0,3.0,7.0,1.0
505,37119005522,6.0,5.0,22.0,2.0
506,37119005522,3.0,5.0,12.0,3.0
507,37119005522,5.0,5.0,13.0,4.0
508,37119005523,19.0,7.0,18.0,1.0
509,37119005523,21.0,12.0,32.0,2.0
510,37119005523,20.0,16.0,38.0,3.0
511,37119005523,24.0,12.0,40.0,4.0
512,37119005524,56.0,34.0,41.0,1.0
513,37119005524,58.0,51.0,65.0,2.0
514,37119005524,55.0,41.0,63.0,3.0
515,37119005524,42.0,31.0,65.0,4.0
516,37119005604,21.0,14.0,19.0,1.0
517,37119005604,24.0,19.0,12.0,2.0
518,37119005604,19.0,8.0,20.0,3.0
519,37119005604,18.0,13.0,33.0,4.0
520,37119005605,17.0,10.0,18.0,1.0
521,37119005605,24.0,15.0,26.0,2.0
522,37119005605,9.0,14.0,49.0,3.0
523,37119005605,12.0,12.0,33.0,4.0
524,37119005609,17.0,13.0,21.0,1.0
525,37119005609,26.0,14.0,17.0,2.0
526,37119005609,8.0,12.0,14.0,3.0
527,37119005609,6.0,7.0,40.0,4.0
528,37119005610,2.0,3.0,13.0,1.0
529,37119005610,10.0,8.0,13.0,2.0
530,37119005610,10.0,7.0,13.0,3.0
531,37119005610,10.0,8.0,14.0,4.0
532,37119005611,5.0,1.0,4.0,1.0
533,37119005611,2.0,4.0,7.0,2.0
534,37119005611,8.0,3.0,3.0,3.0
535,37119005611,4.0,1.0,10.0,4.0
536,37119005612,4.0,4.0,6.0,1.0
537,37119005612,10.0,10.0,15.0,2.0
538,37119005612,6.0,10.0,33.0,3.0
539,37119005612,19.0,10.0,16.0,4.0
540,37119005613,3.0,5.0,1.0,1.0
541,37119005613,7.0,1.0,5.0,2.0
542,37119005613,4.0,6.0,13.0,3.0
543,37119005613,7.0,3.0,14.0,4.0
544,37119005614,5.0,4.0,2.0,1.0
545,37119005614,5.0,5.0,12.0,2.0
546,37119005614,5.0,6.0,15.0,3.0
547,37119005614,10.0,7.0,23.0,4.0
548,37119005615,1.0,0.0,0.0,1.0
549,37119005615,1.0,0.0,1.0,2.0
550,37119005615,1.0,2.0,0.0,3.0
551,37119005615,3.0,1.0,1.0,4.0
552,37119005616,4.0,6.0,6.0,1.0
553,37119005616,7.0,6.0,5.0,2.0
554,37119005616,4.0,1.0,4.0,3.0
555,37119005616,3.0,3.0,8.0,4.0
556,37119005617,0.0,3.0,2.0,1.0
557,37119005617,1.0,1.0,0.0,2.0
558,37119005617,2.0,5.0,3.0,3.0
559,37119005617,2.0,1.0,2.0,4.0
560,37119005618,2.0,0.0,1.0,1.0
561,37119005618,1.0,6.0,5.0,2.0
562,37119005618,6.0,4.0,14.0,3.0
563,37119005618,2.0,4.0,4.0,4.0
564,37119005619,3.0,0.0,2.0,1.0
565,37119005619,9.0,7.0,9.0,2.0
566,37119005619,6.0,6.0,7.0,3.0
567,37119005619,6.0,3.0,14.0,4.0
568,37119005620,13.0,23.0,6.0,1.0
569,37119005620,18.0,22.0,28.0,2.0
570,37119005620,12.0,14.0,29.0,3.0
571,37119005620,6.0,19.0,21.0,4.0
572,37119005621,6.0,2.0,3.0,1.0
573,37119005621,6.0,2.0,8.0,2.0
574,37119005621,7.0,6.0,5.0,3.0
575,37119005621,1.0,0.0,11.0,4.0
576,37119005706,0.0,0.0,0.0,1.0
577,37119005706,0.0,0.0,3.0,2.0
578,37119005706,0.0,0.0,1.0,3.0
579,37119005706,0.0,0.0,0.0,4.0
580,37119005710,4.0,4.0,2.0,1.0
581,37119005710,3.0,8.0,11.0,2.0
582,37119005710,6.0,5.0,13.0,3.0
583,37119005710,4.0,10.0,8.0,4.0
584,37119005711,0.0,1.0,0.0,1.0
585,37119005711,0.0,0.0,0.0,2.0
